Level,Message,Timestamp
INFO,Strategy DXY get Entry,2025-01-31 22:04:27
INFO,Strategy DXY get Entry,2025-01-31 22:04:27
INFO,Strategy DXY get Entry,2025-01-31 22:04:27
INFO,Strategy DXY get Entry,2025-01-31 22:04:27
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:04:29
INFO,Strategy DXY get Entry,2025-01-31 22:04:29
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:04:30
INFO,Strategy DXY get Entry,2025-01-31 22:04:30
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:04:31
INFO,Strategy DXY get Entry,2025-01-31 22:04:31
INFO,TradingService initialized,2025-01-31 22:06:22
INFO,Initializing ConfigManager,2025-01-31 22:06:22
INFO,"Mapping Trade,TradingId:dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 22:06:22
INFO,"Mapping Order,OrderLinkId:22e78fc3-9132-4098-8212-e970b757c8b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:06:22
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:06:22
INFO,"Mapping Order,OrderLinkId:743d7df4-b30e-43da-b564-28f9543374c7,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:06:22
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:06:22
INFO,"Mapping Trade,TradingId:b949b33e-6e71-408c-a81d-7fba18b75547",2025-01-31 22:06:22
INFO,"Mapping Order,OrderLinkId:36d7073d-1e27-4525-b981-479bd7287714,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:06:22
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:06:22
INFO,"Mapping Order,OrderLinkId:6b4d6bd9-5305-49ef-8812-dde7699237cf,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:06:22
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:06:22
INFO,"Mapping Trade,TradingId:b2ff5556-bec2-4ccc-a6f9-07038b146071",2025-01-31 22:06:22
INFO,"Mapping Order,OrderLinkId:f859f57a-f92a-4f49-a43c-7cbee82971ec,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:06:22
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:06:22
INFO,"Mapping Order,OrderLinkId:5ac4c638-3009-4ec1-ba1f-dffa5109438b,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:06:22
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:06:22
INFO,"Mapping Trade,TradingId:3136d144-9b5e-4c40-9918-1c29fcf8731b",2025-01-31 22:06:22
INFO,"Mapping Order,OrderLinkId:d84e5dc2-6f48-4e2e-9cfb-303061694da2,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:06:22
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:06:22
INFO,"Mapping Order,OrderLinkId:54666f79-db42-4664-93e9-d475262eb7b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:06:22
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:06:22
INFO,Finding Asset by id 1,2025-01-31 22:06:22
INFO,Finding Broker by id 1,2025-01-31 22:06:22
INFO,Finding Strategy by id 1,2025-01-31 22:06:22
INFO,Finding Asset by id 3,2025-01-31 22:06:22
INFO,Finding Broker by id 2,2025-01-31 22:06:22
INFO,Finding Strategy by id 1,2025-01-31 22:06:22
INFO,Finding Asset by id 4,2025-01-31 22:06:22
INFO,Finding Broker by id 2,2025-01-31 22:06:22
INFO,Finding Strategy by id 2,2025-01-31 22:06:22
INFO,Finding Strategy by id 1,2025-01-31 22:06:22
INFO,Finding Asset by id 1,2025-01-31 22:06:22
INFO,Finding Asset by id 2,2025-01-31 22:06:22
INFO,Strategy FVG registered for relation BTCUSDTBYBITFVGSession,2025-01-31 22:06:22
INFO,Strategy FVG registered for relation EURUSDCAPITALCOMFVGSession,2025-01-31 22:06:22
INFO,Strategy OTEFourH registered for relation DXYCAPITALCOMOTEFourH,2025-01-31 22:06:22
INFO,Register Asset to Asset Manager:BTCUSDT,2025-01-31 22:06:22
INFO,Registered asset BTCUSDT,2025-01-31 22:06:22
INFO,Strategy FVG already registered,2025-01-31 22:06:22
INFO,Strategy FVG already registered,2025-01-31 22:06:22
INFO,Strategy OTEFourH already registered,2025-01-31 22:06:22
INFO,Register Asset to Asset Manager:USDT.D,2025-01-31 22:06:22
INFO,Registered asset USDT.D,2025-01-31 22:06:22
INFO,Strategy FVG already registered,2025-01-31 22:06:22
INFO,Strategy FVG already registered,2025-01-31 22:06:22
INFO,Strategy OTEFourH already registered,2025-01-31 22:06:22
INFO,Register Asset to Asset Manager:EURUSD,2025-01-31 22:06:22
INFO,Registered asset EURUSD,2025-01-31 22:06:22
INFO,Strategy FVG already registered,2025-01-31 22:06:22
INFO,Strategy FVG already registered,2025-01-31 22:06:22
INFO,Strategy OTEFourH already registered,2025-01-31 22:06:22
INFO,Register Asset to Asset Manager:DXY,2025-01-31 22:06:22
INFO,Registered asset DXY,2025-01-31 22:06:22
INFO,"Register Trade,TradeId: dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 22:06:22
INFO,"Register Trade,TradeId: b949b33e-6e71-408c-a81d-7fba18b75547",2025-01-31 22:06:22
INFO,"Register Trade,TradeId: b2ff5556-bec2-4ccc-a6f9-07038b146071",2025-01-31 22:06:22
INFO,"Register Trade,TradeId: 3136d144-9b5e-4c40-9918-1c29fcf8731b",2025-01-31 22:06:22
INFO,Finished ConfigManager,2025-01-31 22:06:22
INFO,Time taken by run_starting_setup: 0.0246 seconds,2025-01-31 22:06:22
INFO,"b"" * Serving Flask app 'Server'\n""",2025-01-31 22:06:22
INFO,b' * Debug mode: off\n',2025-01-31 22:06:22
INFO,"[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.2.180:8080",2025-01-31 22:06:22
INFO,[33mPress CTRL+C to quit[0m,2025-01-31 22:06:22
INFO,"127.0.0.1 - - [31/Jan/2025 22:06:24] ""%s"" %s %s",2025-01-31 22:06:24
INFO,"Processing file TVC_DXY, 240.csv",2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
INFO,Strategy DXY get Entry,2025-01-31 22:06:33
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:15:51
INFO,Strategy DXY get Entry,2025-01-31 22:15:51
INFO,"127.0.0.1 - - [31/Jan/2025 22:15:51] ""%s"" %s %s",2025-01-31 22:15:51
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:16:01
INFO,Strategy DXY get Entry,2025-01-31 22:16:01
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:16:03
INFO,Strategy DXY get Entry,2025-01-31 22:16:03
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:16:05
INFO,Strategy DXY get Entry,2025-01-31 22:16:05
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:22:25
INFO,Strategy DXY get Entry,2025-01-31 22:22:25
INFO,TradingService initialized,2025-01-31 22:29:50
INFO,Initializing ConfigManager,2025-01-31 22:29:50
INFO,"Mapping Trade,TradingId:dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 22:29:50
INFO,"Mapping Order,OrderLinkId:22e78fc3-9132-4098-8212-e970b757c8b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:29:50
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:29:50
INFO,"Mapping Order,OrderLinkId:743d7df4-b30e-43da-b564-28f9543374c7,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:29:50
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:29:50
INFO,"Mapping Trade,TradingId:b949b33e-6e71-408c-a81d-7fba18b75547",2025-01-31 22:29:50
INFO,"Mapping Order,OrderLinkId:36d7073d-1e27-4525-b981-479bd7287714,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:29:50
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:29:50
INFO,"Mapping Order,OrderLinkId:6b4d6bd9-5305-49ef-8812-dde7699237cf,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:29:50
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:29:50
INFO,"Mapping Trade,TradingId:b2ff5556-bec2-4ccc-a6f9-07038b146071",2025-01-31 22:29:50
INFO,"Mapping Order,OrderLinkId:f859f57a-f92a-4f49-a43c-7cbee82971ec,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:29:50
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:29:50
INFO,"Mapping Order,OrderLinkId:5ac4c638-3009-4ec1-ba1f-dffa5109438b,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:29:50
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:29:50
INFO,"Mapping Trade,TradingId:3136d144-9b5e-4c40-9918-1c29fcf8731b",2025-01-31 22:29:50
INFO,"Mapping Order,OrderLinkId:d84e5dc2-6f48-4e2e-9cfb-303061694da2,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:29:50
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:29:50
INFO,"Mapping Order,OrderLinkId:54666f79-db42-4664-93e9-d475262eb7b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 22:29:50
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 22:29:50
INFO,Finding Asset by id 1,2025-01-31 22:29:50
INFO,Finding Broker by id 1,2025-01-31 22:29:50
INFO,Finding Strategy by id 1,2025-01-31 22:29:50
INFO,Finding Asset by id 3,2025-01-31 22:29:50
INFO,Finding Broker by id 2,2025-01-31 22:29:50
INFO,Finding Strategy by id 1,2025-01-31 22:29:50
INFO,Finding Asset by id 4,2025-01-31 22:29:50
INFO,Finding Broker by id 2,2025-01-31 22:29:50
INFO,Finding Strategy by id 2,2025-01-31 22:29:50
INFO,Finding Strategy by id 1,2025-01-31 22:29:50
INFO,Finding Asset by id 1,2025-01-31 22:29:50
INFO,Finding Asset by id 2,2025-01-31 22:29:50
INFO,Strategy FVG registered for relation BTCUSDTBYBITFVGSession,2025-01-31 22:29:50
INFO,Strategy FVG registered for relation EURUSDCAPITALCOMFVGSession,2025-01-31 22:29:50
INFO,Strategy OTEFourH registered for relation DXYCAPITALCOMOTEFourH,2025-01-31 22:29:50
INFO,Register Asset to Asset Manager:BTCUSDT,2025-01-31 22:29:50
INFO,Registered asset BTCUSDT,2025-01-31 22:29:50
INFO,Strategy FVG already registered,2025-01-31 22:29:50
INFO,Strategy FVG already registered,2025-01-31 22:29:50
INFO,Strategy OTEFourH already registered,2025-01-31 22:29:50
INFO,Register Asset to Asset Manager:USDT.D,2025-01-31 22:29:50
INFO,Registered asset USDT.D,2025-01-31 22:29:50
INFO,Strategy FVG already registered,2025-01-31 22:29:50
INFO,Strategy FVG already registered,2025-01-31 22:29:50
INFO,Strategy OTEFourH already registered,2025-01-31 22:29:50
INFO,Register Asset to Asset Manager:EURUSD,2025-01-31 22:29:50
INFO,Registered asset EURUSD,2025-01-31 22:29:50
INFO,Strategy FVG already registered,2025-01-31 22:29:50
INFO,Strategy FVG already registered,2025-01-31 22:29:50
INFO,Strategy OTEFourH already registered,2025-01-31 22:29:50
INFO,Register Asset to Asset Manager:DXY,2025-01-31 22:29:50
INFO,Registered asset DXY,2025-01-31 22:29:50
INFO,"Register Trade,TradeId: dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 22:29:50
INFO,"Register Trade,TradeId: b949b33e-6e71-408c-a81d-7fba18b75547",2025-01-31 22:29:50
INFO,"Register Trade,TradeId: b2ff5556-bec2-4ccc-a6f9-07038b146071",2025-01-31 22:29:50
INFO,"Register Trade,TradeId: 3136d144-9b5e-4c40-9918-1c29fcf8731b",2025-01-31 22:29:50
INFO,Finished ConfigManager,2025-01-31 22:29:50
INFO,Time taken by run_starting_setup: 0.1482 seconds,2025-01-31 22:29:50
INFO,"b"" * Serving Flask app 'Server'\n""",2025-01-31 22:29:50
INFO,b' * Debug mode: off\n',2025-01-31 22:29:50
INFO,"[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://192.168.178.94:8080",2025-01-31 22:29:50
INFO,[33mPress CTRL+C to quit[0m,2025-01-31 22:29:50
INFO,"127.0.0.1 - - [31/Jan/2025 22:29:50] ""%s"" %s %s",2025-01-31 22:29:50
INFO,"Processing file TVC_DXY, 240.csv",2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
INFO,Strategy DXY get Entry,2025-01-31 22:30:13
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:11
INFO,Strategy DXY get Entry,2025-01-31 22:31:11
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:13
INFO,Strategy DXY get Entry,2025-01-31 22:31:13
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:14
INFO,Strategy DXY get Entry,2025-01-31 22:31:14
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:17
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:17
INFO,Strategy DXY get Entry,2025-01-31 22:31:17
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:52
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:52
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:52
INFO,Strategy DXY get Entry,2025-01-31 22:31:52
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:54
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:54
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:54
INFO,Strategy DXY get Entry,2025-01-31 22:31:54
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Get Entry Failed for OTEFourH/DXY: not all arguments converted during string formatting,2025-01-31 22:31:58
INFO,Strategy DXY get Entry,2025-01-31 22:31:58
ERROR,Remove Level Exception: 'Level' object has no attribute 'timeframe',2025-01-31 22:31:58
ERROR,Remove PD Array Exception: 'PDArray' object has no attribute 'timeframe',2025-01-31 22:31:58
